[2017/05/07 20:39:47]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/07 20:40:31]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  LIMIT 6 ; ERROR: 0 
[2017/05/07 20:40:31]  SELECT * FROM pre_photograph WHERE 1 ORDER BY photo_id DESC  LIMIT 9 ; ERROR: 0 
[2017/05/07 20:40:31]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 10 ; ERROR: 0 
[2017/05/07 20:40:31]  SELECT * FROM pre_article WHERE artcate_id = 8 ; ERROR: 0 
[2017/05/07 20:40:31]  SELECT * FROM pre_admin WHERE admin_id = 1 ; ERROR: 0 
[2017/05/07 20:40:31]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/07 20:40:34]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  LIMIT 6 ; ERROR: 0 
[2017/05/07 20:40:34]  SELECT * FROM pre_photograph WHERE 1 ORDER BY photo_id DESC  LIMIT 9 ; ERROR: 0 
[2017/05/07 20:40:34]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 10 ; ERROR: 0 
[2017/05/07 20:40:34]  SELECT * FROM pre_article WHERE artcate_id = 8 ; ERROR: 0 
[2017/05/07 20:40:34]  SELECT * FROM pre_admin WHERE admin_id = 1 ; ERROR: 0 
[2017/05/07 20:40:34]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/07 20:40:40]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  LIMIT 6 ; ERROR: 0 
[2017/05/07 20:40:40]  SELECT * FROM pre_photograph WHERE 1 ORDER BY photo_id DESC  LIMIT 9 ; ERROR: 0 
[2017/05/07 20:40:40]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 10 ; ERROR: 0 
[2017/05/07 20:40:40]  SELECT * FROM pre_article WHERE artcate_id = 8 ; ERROR: 0 
[2017/05/07 20:40:40]  SELECT * FROM pre_admin WHERE admin_id = 1 ; ERROR: 0 
[2017/05/07 20:40:40]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/07 20:40:44]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  LIMIT 6 ; ERROR: 0 
[2017/05/07 20:40:44]  SELECT * FROM pre_photograph WHERE 1 ORDER BY photo_id DESC  LIMIT 9 ; ERROR: 0 
[2017/05/07 20:40:44]  SELECT * FROM pre_article WHERE 1 ORDER BY article_id DESC  LIMIT 10 ; ERROR: 0 
[2017/05/07 20:40:44]  SELECT * FROM pre_article WHERE artcate_id=2 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/07 20:40:44]  SELECT * FROM pre_article WHERE artcate_id=4 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/07 20:40:44]  SELECT * FROM pre_article WHERE artcate_id=5 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/07 20:40:44]  SELECT * FROM pre_article WHERE artcate_id=6 ORDER BY article_id DESC  LIMIT 5 ; ERROR: 0 
[2017/05/07 20:40:47]  SELECT * FROM pre_moodlist WHERE 1 ORDER BY mood_id DESC  LIMIT 15 ; ERROR: 0 
[2017/05/07 20:40:59]  SELECT * FROM pre_link WHERE 1 ORDER BY link_id DESC  ; ERROR: 0 
